Fecha,CodigoEstacion,Latitud,Longitud,Altitud,Valor,Climatologia,Anomalia,DosSTD
2001-10-01,23085080,6.48,-74.84,859,28.44,29.014618704285713,-0.5746187042857116,1.9303996153816398
2001-11-01,23085080,6.48,-74.84,859,28.07407407,28.87483800857143,-0.8007639385714285,1.9303996153816398
2001-12-01,23085080,6.48,-74.84,859,28.16,29.180578137142856,-1.0205781371428557,1.9303996153816398
2002-01-01,23085080,6.48,-74.84,859,29.4137931,29.308713742857144,0.10507935714285566,1.9303996153816398
2002-02-01,23085080,6.48,-74.84,859,29.56153846,29.423124686428572,0.13841377357142903,1.9303996153816398
2002-03-01,23085080,6.48,-74.84,859,28.94,29.13821893,-0.19821892999999946,1.9303996153816398
2002-04-01,23085080,6.48,-74.84,859,28.78571429,28.985652154285713,-0.1999378642857117,1.9303996153816398
2002-05-01,23085080,6.48,-74.84,859,28.90909091,29.075472517857143,-0.16638160785714362,1.9303996153816398
2002-06-01,23085080,6.48,-74.84,859,29.05517241,28.99841496428572,0.05675744571428254,1.9303996153816398
2002-07-01,23085080,6.48,-74.84,859,29.17857143,29.076490212857145,0.10208121714285667,1.9303996153816398
2002-08-01,23085080,6.48,-74.84,859,29.92857143,29.423316925714285,0.5052545042857162,1.9303996153816398
2002-09-01,23085080,6.48,-74.84,859,28.86206897,29.240956684999997,-0.3788877149999976,1.9303996153816398
2002-10-01,23085080,6.48,-74.84,859,28.99310345,29.014618704285713,-0.021515254285713326,1.9303996153816398
2002-11-01,23085080,6.48,-74.84,859,28.95172414,28.87483800857143,0.07688613142856937,1.9303996153816398
2002-12-01,23085080,6.48,-74.84,859,28.75333333,29.180578137142856,-0.4272448071428556,1.9303996153816398
2003-01-01,23085080,6.48,-74.84,859,30.07368421,29.308713742857144,0.7649704671428559,1.9303996153816398
2003-02-01,23085080,6.48,-74.84,859,30.0,29.423124686428572,0.5768753135714277,1.9303996153816398
2003-03-01,23085080,6.48,-74.84,859,29.47777778,29.13821893,0.3395588499999995,1.9303996153816398
2003-04-01,23085080,6.48,-74.84,859,28.6,28.985652154285713,-0.38565215428571165,1.9303996153816398
2003-05-01,23085080,6.48,-74.84,859,30.0,29.075472517857143,0.9245274821428566,1.9303996153816398
2003-06-01,23085080,6.48,-74.84,859,30.0,28.99841496428572,1.0015850357142817,1.9303996153816398
2003-07-01,23085080,6.48,-74.84,859,30.5,29.076490212857145,1.423509787142855,1.9303996153816398
2003-08-01,23085080,6.48,-74.84,859,32.8,29.423316925714285,3.3766830742857117,1.9303996153816398
2003-09-01,23085080,6.48,-74.84,859,31.1,29.240956684999997,1.8590433150000045,1.9303996153816398
2003-10-01,23085080,6.48,-74.84,859,30.2,29.014618704285713,1.1853812957142864,1.9303996153816398
2003-11-01,23085080,6.48,-74.84,859,30.4,28.87483800857143,1.5251619914285683,1.9303996153816398
2003-12-01,23085080,6.48,-74.84,859,30.5,29.180578137142856,1.3194218628571441,1.9303996153816398
2004-01-01,23085080,6.48,-74.84,859,29.27777778,29.308713742857144,-0.03093596285714284,1.9303996153816398
2004-02-01,23085080,6.48,-74.84,859,30.76,29.423124686428572,1.3368753135714293,1.9303996153816398
2004-03-01,23085080,6.48,-74.84,859,30.84347826,29.13821893,1.7052593300000005,1.9303996153816398
2004-04-01,23085080,6.48,-74.84,859,29.90526316,28.985652154285713,0.9196110057142874,1.9303996153816398
2004-05-01,23085080,6.48,-74.84,859,30.325,29.075472517857143,1.249527482142856,1.9303996153816398
2004-06-01,23085080,6.48,-74.84,859,30.5,28.99841496428572,1.5015850357142817,1.9303996153816398
2004-07-01,23085080,6.48,-74.84,859,30.85833333,29.076490212857145,1.7818431171428557,1.9303996153816398
2004-08-01,23085080,6.48,-74.84,859,30.26153846,29.423316925714285,0.8382215342857151,1.9303996153816398
2004-09-01,23085080,6.48,-74.84,859,29.768,29.240956684999997,0.5270433150000038,1.9303996153816398
2004-10-01,23085080,6.48,-74.84,859,30.54166667,29.014618704285713,1.5270479657142886,1.9303996153816398
2004-11-01,23085080,6.48,-74.84,859,30.3,28.87483800857143,1.4251619914285705,1.9303996153816398
2004-12-01,23085080,6.48,-74.84,859,30.2,29.180578137142856,1.0194218628571434,1.9303996153816398
2005-01-01,23085080,6.48,-74.84,859,31.0,29.308713742857144,1.6912862571428562,1.9303996153816398
2005-02-01,23085080,6.48,-74.84,859,28.5,29.423124686428572,-0.9231246864285723,1.9303996153816398
2005-03-01,23085080,6.48,-74.84,859,29.0,29.13821893,-0.13821893000000074,1.9303996153816398
2005-04-01,23085080,6.48,-74.84,859,28.3,28.985652154285713,-0.6856521542857124,1.9303996153816398
2005-05-01,23085080,6.48,-74.84,859,29.5,29.075472517857143,0.4245274821428566,1.9303996153816398
2005-06-01,23085080,6.48,-74.84,859,27.0,28.99841496428572,-1.9984149642857183,1.9303996153816398
2005-07-01,23085080,6.48,-74.84,859,26.0,29.076490212857145,-3.076490212857145,1.9303996153816398
2005-08-01,23085080,6.48,-74.84,859,28.0,29.423316925714285,-1.4233169257142855,1.9303996153816398
2005-09-01,23085080,6.48,-74.84,859,30.0,29.240956684999997,0.7590433150000031,1.9303996153816398
2005-10-01,23085080,6.48,-74.84,859,31.0,29.014618704285713,1.9853812957142871,1.9303996153816398
2005-11-01,23085080,6.48,-74.84,859,27.61111111,28.87483800857143,-1.2637268985714307,1.9303996153816398
2005-12-01,23085080,6.48,-74.84,859,28.71428571,29.180578137142856,-0.46629242714285724,1.9303996153816398
2006-01-01,23085080,6.48,-74.84,859,29.89583333,29.308713742857144,0.5871195871428547,1.9303996153816398
2006-02-01,23085080,6.48,-74.84,859,30.46428571,29.423124686428572,1.0411610235714264,1.9303996153816398
2006-03-01,23085080,6.48,-74.84,859,29.44827586,29.13821893,0.31005692999999823,1.9303996153816398
2006-04-01,23085080,6.48,-74.84,859,28.55172414,28.985652154285713,-0.43392801428571204,1.9303996153816398
2006-05-01,23085080,6.48,-74.84,859,28.98,29.075472517857143,-0.09547251785714295,1.9303996153816398
2006-06-01,23085080,6.48,-74.84,859,28.82758621,28.99841496428572,-0.17082875428571853,1.9303996153816398
2006-07-01,23085080,6.48,-74.84,859,28.90740741,29.076490212857145,-0.16908280285714383,1.9303996153816398
2006-08-01,23085080,6.48,-74.84,859,29.18333333,29.423316925714285,-0.2399835957142855,1.9303996153816398
2006-09-01,23085080,6.48,-74.84,859,29.29166667,29.240956684999997,0.050709985000004565,1.9303996153816398
2006-10-01,23085080,6.48,-74.84,859,28.83333333,29.014618704285713,-0.18128537428571434,1.9303996153816398
2006-11-01,23085080,6.48,-74.84,859,29.37727273,28.87483800857143,0.5024347214285712,1.9303996153816398
2006-12-01,23085080,6.48,-74.84,859,29.15909091,29.180578137142856,-0.021487227142856113,1.9303996153816398
2007-01-01,23085080,6.48,-74.84,859,30.1,29.308713742857144,0.7912862571428576,1.9303996153816398
2007-02-01,23085080,6.48,-74.84,859,31.43529412,29.423124686428572,2.012169433571426,1.9303996153816398
2007-03-01,23085080,6.48,-74.84,859,30.43529412,29.13821893,1.2970751899999975,1.9303996153816398
2007-04-01,23085080,6.48,-74.84,859,31.06,28.985652154285713,2.0743478457142857,1.9303996153816398
2007-05-01,23085080,6.48,-74.84,859,31.0,29.075472517857143,1.9245274821428566,1.9303996153816398
2007-06-01,23085080,6.48,-74.84,859,30.6,28.99841496428572,1.6015850357142831,1.9303996153816398
2007-07-01,23085080,6.48,-74.84,859,30.33333333,29.076490212857145,1.2568431171428536,1.9303996153816398
2007-08-01,23085080,6.48,-74.84,859,30.9,29.423316925714285,1.476683074285713,1.9303996153816398
2007-09-01,23085080,6.48,-74.84,859,30.25,29.240956684999997,1.009043315000003,1.9303996153816398
2007-10-01,23085080,6.48,-74.84,859,29.8,29.014618704285713,0.7853812957142878,1.9303996153816398
2007-11-01,23085080,6.48,-74.84,859,30.93333333,28.87483800857143,2.0584953214285697,1.9303996153816398
2007-12-01,23085080,6.48,-74.84,859,31.7,29.180578137142856,2.5194218628571434,1.9303996153816398
2008-01-01,23085080,6.48,-74.84,859,28.0,29.308713742857144,-1.3087137428571438,1.9303996153816398
2008-02-01,23085080,6.48,-74.84,859,27.93333333,29.423124686428572,-1.4897913564285723,1.9303996153816398
2008-03-01,23085080,6.48,-74.84,859,28.0,29.13821893,-1.1382189300000007,1.9303996153816398
2008-04-01,23085080,6.48,-74.84,859,27.86666667,28.985652154285713,-1.1189854842857123,1.9303996153816398
2008-05-01,23085080,6.48,-74.84,859,27.73333333,29.075472517857143,-1.3421391878571427,1.9303996153816398
2008-06-01,23085080,6.48,-74.84,859,28.4,28.99841496428572,-0.5984149642857197,1.9303996153816398
2008-07-01,23085080,6.48,-74.84,859,27.4,29.076490212857145,-1.6764902128571464,1.9303996153816398
2008-08-01,23085080,6.48,-74.84,859,28.13333333,29.423316925714285,-1.2899835957142862,1.9303996153816398
2008-09-01,23085080,6.48,-74.84,859,28.61818182,29.240956684999997,-0.6227748649999967,1.9303996153816398
2008-10-01,23085080,6.48,-74.84,859,28.0,29.014618704285713,-1.0146187042857129,1.9303996153816398
2008-11-01,23085080,6.48,-74.84,859,27.3,28.87483800857143,-1.5748380085714295,1.9303996153816398
2008-12-01,23085080,6.48,-74.84,859,28.96923077,29.180578137142856,-0.2113473671428565,1.9303996153816398
2009-01-01,23085080,6.48,-74.84,859,29.28275862,29.308713742857144,-0.02595512285714463,1.9303996153816398
2009-02-01,23085080,6.48,-74.84,859,29.37391304,29.423124686428572,-0.04921164642857079,1.9303996153816398
2009-03-01,23085080,6.48,-74.84,859,28.59310345,29.13821893,-0.5451154799999998,1.9303996153816398
2009-04-01,23085080,6.48,-74.84,859,29.025,28.985652154285713,0.03934784571428551,1.9303996153816398
2009-05-01,23085080,6.48,-74.84,859,28.41428571,29.075472517857143,-0.6611868078571419,1.9303996153816398
2009-06-01,23085080,6.48,-74.84,859,29.36923077,28.99841496428572,0.3708158057142832,1.9303996153816398
2009-07-01,23085080,6.48,-74.84,859,29.60666667,29.076490212857145,0.5301764571428542,1.9303996153816398
2009-08-01,23085080,6.48,-74.84,859,28.69090909,29.423316925714285,-0.7324078357142838,1.9303996153816398
2009-09-01,23085080,6.48,-74.84,859,29.14827586,29.240956684999997,-0.09268082499999863,1.9303996153816398
2009-10-01,23085080,6.48,-74.84,859,28.02758621,29.014618704285713,-0.9870324942857138,1.9303996153816398
2009-11-01,23085080,6.48,-74.84,859,28.61428571,28.87483800857143,-0.2605522985714295,1.9303996153816398
2009-12-01,23085080,6.48,-74.84,859,28.37142857,29.180578137142856,-0.8091495671428568,1.9303996153816398
2010-01-01,23085080,6.48,-74.84,859,29.51428571,29.308713742857144,0.20557196714285553,1.9303996153816398
2010-02-01,23085080,6.48,-74.84,859,29.368,29.423124686428572,-0.05512468642857371,1.9303996153816398
2010-03-01,23085080,6.48,-74.84,859,29.31724138,29.13821893,0.17902244999999795,1.9303996153816398
2010-04-01,23085080,6.48,-74.84,859,29.14285714,28.985652154285713,0.1572049857142872,1.9303996153816398
2010-05-01,23085080,6.48,-74.84,859,28.87586207,29.075472517857143,-0.19961044785714321,1.9303996153816398
2010-06-01,23085080,6.48,-74.84,859,28.22962963,28.99841496428572,-0.7687853342857167,1.9303996153816398
2010-07-01,23085080,6.48,-74.84,859,27.71724138,29.076490212857145,-1.3592488328571442,1.9303996153816398
2010-08-01,23085080,6.48,-74.84,859,27.83571429,29.423316925714285,-1.587602635714287,1.9303996153816398
2010-09-01,23085080,6.48,-74.84,859,27.78571429,29.240956684999997,-1.4552423949999955,1.9303996153816398
2010-10-01,23085080,6.48,-74.84,859,28.5,29.014618704285713,-0.5146187042857129,1.9303996153816398
2010-11-01,23085080,6.48,-74.84,859,28.08,28.87483800857143,-0.7948380085714319,1.9303996153816398
2010-12-01,23085080,6.48,-74.84,859,29.1,29.180578137142856,-0.08057813714285444,1.9303996153816398
2011-01-01,23085080,6.48,-74.84,859,29.1,29.308713742857144,-0.2087137428571424,1.9303996153816398
2011-02-01,23085080,6.48,-74.84,859,29.1,29.423124686428572,-0.32312468642857084,1.9303996153816398
2011-03-01,23085080,6.48,-74.84,859,29.1,29.13821893,-0.03821892999999932,1.9303996153816398
2011-04-01,23085080,6.48,-74.84,859,29.1,28.985652154285713,0.11434784571428835,1.9303996153816398
2011-05-01,23085080,6.48,-74.84,859,29.1,29.075472517857143,0.024527482142858048,1.9303996153816398
2011-06-01,23085080,6.48,-74.84,859,29.1,28.99841496428572,0.10158503571428312,1.9303996153816398
2011-07-01,23085080,6.48,-74.84,859,29.1,29.076490212857145,0.023509787142856453,1.9303996153816398
2011-08-01,23085080,6.48,-74.84,859,29.1,29.423316925714285,-0.32331692571428405,1.9303996153816398
2011-09-01,23085080,6.48,-74.84,859,29.1,29.240956684999997,-0.14095668499999547,1.9303996153816398
2011-10-01,23085080,6.48,-74.84,859,29.1,29.014618704285713,0.08538129571428854,1.9303996153816398
2011-11-01,23085080,6.48,-74.84,859,29.1,28.87483800857143,0.22516199142857118,1.9303996153816398
2011-12-01,23085080,6.48,-74.84,859,29.1,29.180578137142856,-0.08057813714285444,1.9303996153816398
2012-01-01,23085080,6.48,-74.84,859,28.5,29.308713742857144,-0.8087137428571438,1.9303996153816398
2012-02-01,23085080,6.48,-74.84,859,28.76666667,29.423124686428572,-0.6564580164285729,1.9303996153816398
2012-03-01,23085080,6.48,-74.84,859,28.88,29.13821893,-0.25821893000000173,1.9303996153816398
2012-04-01,23085080,6.48,-74.84,859,29.0,28.985652154285713,0.014347845714286933,1.9303996153816398
2012-05-01,23085080,6.48,-74.84,859,28.71578947,29.075472517857143,-0.35968304785714267,1.9303996153816398
2012-06-01,23085080,6.48,-74.84,859,28.47,28.99841496428572,-0.5284149642857194,1.9303996153816398
2012-07-01,23085080,6.48,-74.84,859,29.536,29.076490212857145,0.4595097871428564,1.9303996153816398
2012-08-01,23085080,6.48,-74.84,859,29.256,29.423316925714285,-0.16731692571428525,1.9303996153816398
2012-09-01,23085080,6.48,-74.84,859,29.45714286,29.240956684999997,0.21618617500000425,1.9303996153816398
2012-10-01,23085080,6.48,-74.84,859,28.52941176,29.014618704285713,-0.4852069442857143,1.9303996153816398
2012-11-01,23085080,6.48,-74.84,859,29.2,28.87483800857143,0.32516199142856905,1.9303996153816398
2012-12-01,23085080,6.48,-74.84,859,28.5047619,29.180578137142856,-0.6758162371428575,1.9303996153816398
2013-01-01,23085080,6.48,-74.84,859,28.81333333,29.308713742857144,-0.49538041285714485,1.9303996153816398
2013-02-01,23085080,6.48,-74.84,859,29.24285714,29.423124686428572,-0.18026754642857057,1.9303996153816398
2013-03-01,23085080,6.48,-74.84,859,28.7037037,29.13821893,-0.43451523000000236,1.9303996153816398
2013-04-01,23085080,6.48,-74.84,859,28.92857143,28.985652154285713,-0.057080724285711426,1.9303996153816398
2013-05-01,23085080,6.48,-74.84,859,28.62068966,29.075472517857143,-0.45478285785714334,1.9303996153816398
2013-06-01,23085080,6.48,-74.84,859,28.66666667,28.99841496428572,-0.33174829428571684,1.9303996153816398
2013-07-01,23085080,6.48,-74.84,859,29.47333333,29.076490212857145,0.39684311714285414,1.9303996153816398
2013-08-01,23085080,6.48,-74.84,859,28.74074074,29.423316925714285,-0.6825761857142858,1.9303996153816398
2013-09-01,23085080,6.48,-74.84,859,29.22142857,29.240956684999997,-0.019528114999996404,1.9303996153816398
2013-10-01,23085080,6.48,-74.84,859,28.78571429,29.014618704285713,-0.2289044142857115,1.9303996153816398
2013-11-01,23085080,6.48,-74.84,859,28.13793103,28.87483800857143,-0.7369069785714295,1.9303996153816398
2013-12-01,23085080,6.48,-74.84,859,28.67857143,29.180578137142856,-0.5020067071428542,1.9303996153816398
2014-01-01,23085080,6.48,-74.84,859,29.21052632,29.308713742857144,-0.09818742285714421,1.9303996153816398
2014-02-01,23085080,6.48,-74.84,859,29.125,29.423124686428572,-0.29812468642857226,1.9303996153816398
2014-03-01,23085080,6.48,-74.84,859,28.94285714,29.13821893,-0.19536178999999976,1.9303996153816398
2014-04-01,23085080,6.48,-74.84,859,29.2,28.985652154285713,0.21434784571428622,1.9303996153816398
2014-05-01,23085080,6.48,-74.84,859,28.76923077,29.075472517857143,-0.3062417478571433,1.9303996153816398
2014-06-01,23085080,6.48,-74.84,859,29.06666667,28.99841496428572,0.06825170571428174,1.9303996153816398
2014-07-01,23085080,6.48,-74.84,859,30.41481481,29.076490212857145,1.3383245971428543,1.9303996153816398
2014-08-01,23085080,6.48,-74.84,859,29.01481481,29.423316925714285,-0.40850211571428474,1.9303996153816398
2014-09-01,23085080,6.48,-74.84,859,28.62608696,29.240956684999997,-0.6148697249999984,1.9303996153816398
2014-10-01,23085080,6.48,-74.84,859,27.45384615,29.014618704285713,-1.5607725542857125,1.9303996153816398
2014-11-01,23085080,6.48,-74.84,859,28.168,28.87483800857143,-0.706838008571431,1.9303996153816398
2014-12-01,23085080,6.48,-74.84,859,28.6173913,29.180578137142856,-0.5631868371428546,1.9303996153816398
2001-01-01,23085110,6.21,-75.24,2022,22.4,23.913259642142858,-1.5132596421428595,1.8271660297326624
2001-02-01,23085110,6.21,-75.24,2022,22.752,23.90116855642857,-1.1491685564285703,1.8271660297326624
2001-03-01,23085110,6.21,-75.24,2022,23.46896552,24.07605032714286,-0.6070848071428578,1.8271660297326624
2001-04-01,23085110,6.21,-75.24,2022,23.71724138,24.068158495,-0.3509171149999979,1.8271660297326624
2001-05-01,23085110,6.21,-75.24,2022,24.01428571,24.343515012857143,-0.3292293028571436,1.8271660297326624
2001-06-01,23085110,6.21,-75.24,2022,24.46,24.474651198571426,-0.014651198571424828,1.8271660297326624
2001-07-01,23085110,6.21,-75.24,2022,23.90666667,24.43530835357143,-0.5286416835714292,1.8271660297326624
2001-08-01,23085110,6.21,-75.24,2022,24.1483871,24.466789872142858,-0.31840277214285706,1.8271660297326624
2001-09-01,23085110,6.21,-75.24,2022,24.25333333,24.313519522857142,-0.06018619285714166,1.8271660297326624
2001-10-01,23085110,6.21,-75.24,2022,23.13,23.80368898214286,-0.6736889821428598,1.8271660297326624
2001-11-01,23085110,6.21,-75.24,2022,23.69333333,23.705135415,-0.011802084999999352,1.8271660297326624
2001-12-01,23085110,6.21,-75.24,2022,23.89677419,23.649028674285713,0.2477455157142856,1.8271660297326624
2002-01-01,23085110,6.21,-75.24,2022,24.15483871,23.913259642142858,0.2415790678571419,1.8271660297326624
2002-02-01,23085110,6.21,-75.24,2022,24.52307692,23.90116855642857,0.621908363571432,1.8271660297326624
2002-03-01,23085110,6.21,-75.24,2022,24.59333333,24.07605032714286,0.5172830028571411,1.8271660297326624
2002-04-01,23085110,6.21,-75.24,2022,24.33333333,24.068158495,0.26517483499999983,1.8271660297326624
2002-05-01,23085110,6.21,-75.24,2022,24.40645161,24.343515012857143,0.06293659714285837,1.8271660297326624
2002-06-01,23085110,6.21,-75.24,2022,24.89285714,24.474651198571426,0.4182059414285746,1.8271660297326624
2002-07-01,23085110,6.21,-75.24,2022,24.54193548,24.43530835357143,0.1066271264285703,1.8271660297326624
2002-08-01,23085110,6.21,-75.24,2022,24.84,24.466789872142858,0.373210127857142,1.8271660297326624
2002-09-01,23085110,6.21,-75.24,2022,24.58,24.313519522857142,0.2664804771428564,1.8271660297326624
2002-10-01,23085110,6.21,-75.24,2022,23.74285714,23.80368898214286,-0.060831842142857084,1.8271660297326624
2002-11-01,23085110,6.21,-75.24,2022,23.81333333,23.705135415,0.10819791499999809,1.8271660297326624
2002-12-01,23085110,6.21,-75.24,2022,24.27741935,23.649028674285713,0.6283906757142859,1.8271660297326624
2003-01-01,23085110,6.21,-75.24,2022,24.23571429,23.913259642142858,0.3224546478571426,1.8271660297326624
2003-02-01,23085110,6.21,-75.24,2022,24.28,23.90116855642857,0.37883144357143195,1.8271660297326624
2003-03-01,23085110,6.21,-75.24,2022,23.8,24.07605032714286,-0.27605032714285827,1.8271660297326624
2003-04-01,23085110,6.21,-75.24,2022,24.12307692,24.068158495,0.054918425000000326,1.8271660297326624
2003-05-01,23085110,6.21,-75.24,2022,25.66666667,24.343515012857143,1.3231516571428585,1.8271660297326624
2003-06-01,23085110,6.21,-75.24,2022,25.55555556,24.474651198571426,1.0809043614285727,1.8271660297326624
2003-07-01,23085110,6.21,-75.24,2022,24.8,24.43530835357143,0.36469164642857166,1.8271660297326624
2003-08-01,23085110,6.21,-75.24,2022,25.76428571,24.466789872142858,1.2974958378571415,1.8271660297326624
2003-09-01,23085110,6.21,-75.24,2022,24.53333333,24.313519522857142,0.21981380714285947,1.8271660297326624
