,LandCover,Wind,DEM,NDVI,Clouds,Temp,Eva,Eva_plant,AirTempCategory
12316,50.0,1.2892092,1079.0,0.69,0.70286953,19.374542,-0.002938887,-2.8963161e-06,0
12368,30.0,1.0036273,493.0,0.59,0.7090412,23.002228,-0.003537297,-4.4329074e-05,0
12443,40.0,1.2522498,2359.0,0.64,0.71846104,16.717407,-0.0034277558,-8.5143165e-06,0
12454,50.0,1.3944471,1174.0,0.73,0.6886293,23.920166,-0.0040150746,-2.3696284e-06,0
12580,50.0,1.2905451,1826.0,0.66,0.709431,18.992676,-0.0032620179,-0.0003542847,0
12626,10.0,1.044149,2012.0,0.68,0.79136425,18.46283,-0.00398761,4.656613e-10,0
12638,60.0,1.2016348,1692.0,0.36,0.7168759,17.657196,-0.0037636682,-1.5795971e-06,0
12769,100.0,1.1683861,1489.0,0.57,0.71149683,17.836761,-0.0038493366,-2.3696284e-06,0
12776,30.0,1.3010838,2006.0,0.66,0.725867,17.707092,-0.0036632114,-0.0003908895,0
12838,30.0,1.2660539,2475.0,0.72,0.72429484,16.898315,-0.0034296573,-2.545191e-06,0
12846,50.0,1.2893577,1955.0,0.76,0.700167,21.086578,-0.0035810291,-7.895657e-07,0
12905,10.0,1.2854985,2121.0,0.7,0.72539926,16.476776,-0.0032724754,-8.7315605e-08,0
12960,40.0,0.96622264,1262.0,0.75,0.7062607,21.323181,-0.0034517345,4.656613e-10,0
12967,50.0,1.1755109,2592.0,0.74,0.71019757,18.20752,-0.0036078598,-6.1400317e-07,0
13109,50.0,1.27778,1120.0,0.82,0.703818,22.152893,-0.003384024,4.656613e-10,0
13221,50.0,1.0132754,1845.0,0.77,0.76341647,19.584442,-0.0040769754,-3.160079e-05,0
13237,50.0,1.2711006,2368.0,0.75,0.72629577,16.956696,-0.0038725757,4.656613e-10,0
13296,50.0,1.0116426,737.0,0.58,0.7169149,21.712189,-0.0035700432,4.656613e-10,0
